date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:00	1069/1069	---M--	200	added ('OK')	text/css	etag:W/%221069-1632873966000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/css/footer.content.css?73966	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/css/footer.content350a.css	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:00	85577/85577	---M--	200	added ('OK')	application/javascript	etag:W/%2285577-1606350100000%22	https://aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-2.2.4.min.js	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-2.2.4.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:00	253669/253669	---M--	200	added ('OK')	application/javascript	etag:W/%22253669-1606350100000%22	https://aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-ui-1.12.1.min.js	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/js/jquery/jquery-ui-1.12.1.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:01	506357/506357	---M--	200	added ('OK')	application/javascript	etag:W/%22506357-1635917037000%22	https://aisw.kangwon.ac.kr/_res/_common/js/cms.js	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/_common/js/cms.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:01	128900/128900	---M--	200	added ('OK')	application/javascript	etag:W/%22128900-1611795211000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/swiper.min.js	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/swiper.min.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:01	8374/8374	---M--	200	added ('OK')	application/javascript	etag:W/%228374-1606350655000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/scroll.js	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/scroll.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:01	7401/7401	---M--	200	added ('OK')	application/javascript	etag:W/%227401-1648002943000%22	https://aisw.kangwon.ac.kr/_res/knu/_share/js/cms-common.js?02943	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/_share/js/cms-common0b10.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:01	0/0	---M--	200	added ('OK')	application/javascript	etag:W/%220-1632873967000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/cms-common.js?73967	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/js/cms-common07aa.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:02	560/560	---M--	200	added ('OK')	application/javascript	etag:W/%22560-1634274943000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/main-content01.content.js?74943	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/js/main-content01.content7204.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
19:46:02	1843/1843	---M--	200	added ('OK')	application/javascript	etag:W/%221843-1644310987000%22	https://aisw.kangwon.ac.kr/_res/knu/aisw/js/header.content.js?10987	F:/JSP_Project2/aisw.kangwon.ac.kr/_res/knu/aisw/js/header.content0b7a.js	(from https://aisw.kangwon.ac.kr/aisw/index.do)
